,Seq.tube.ID,SWRC_.ID,Sample.Site.ID,Date.Collected,Sample_depth_cm,Site,Sample_ID.1,Site_PE,Point_of_Entry,Replicate,System,Till_Type,System2,CoverCrop,Sample_or_Control
FST_1P,1,1803742.004,FST_COV_231,Jan. 2019,0-10,FST,231,FST31,31,A,Conventional,Till,Conventional,No CoverCrop,Sample
FST_2P,2,1803748.004,FST_COV_531,Jan. 2019,0-10,FST,531,FST31,31,B,Conventional,Till,Conventional,No CoverCrop,Sample
FST_3P,3,1803754.004,FST_COV_731,Jan. 2019,0-10,FST,731,FST31,31,C,Conventional,Till,Conventional,No CoverCrop,Sample
FST_4P,4,1803766.004,FST_CNT_131,Jan. 2019,0-10,FST,131,FST31,31,A,Conventional,No Till,Conventional,No CoverCrop,Sample
FST_5P,5,1803772.004,FST_CNT_331,Jan. 2019,0-10,FST,331,FST31,31,B,Conventional,No Till,Conventional,No CoverCrop,Sample
FST_6P,6,1803778.004,FST_CNT_431,Jan. 2019,0-10,FST,431,FST31,31,C,Conventional,No Till,Conventional,No CoverCrop,Sample
FST_7P,7,1803790.004,FST_CNT_133,Jan. 2019,0-10,FST,133,FST33,33,A,Conservation,No Till,Conventional,CoverCrop,Sample
FST_8P,8,1803796.004,FST_CNT_333,Jan. 2019,0-10,FST,333,FST33,33,B,Conservation,No Till,Conventional,CoverCrop,Sample
FST_9P,9,1803802.004,FST_CNT_433,Jan. 2019,0-10,FST,433,FST33,33,C,Conservation,No Till,Conventional,CoverCrop,Sample
FST_10P,10,1803814.004,FST_COV_233,Jan. 2019,0-10,FST,233,FST33,33,A,Conservation,Till,Conventional,CoverCrop,Sample
FST_11P,11,1803820.004,FST_COV_533,Jan. 2019,0-10,FST,533,FST33,33,B,Conservation,Till,Conventional,CoverCrop,Sample
FST_12P,12,1803826.004,FST_COV_733,Jan. 2019,0-10,FST,733,FST33,33,C,Conservation,Till,Conventional,CoverCrop,Sample
FST_13P,13,1803838.004,FST_ONT_112,Jan. 2019,0-10,FST,112,FST12,12,A,Organic,No Till,Manure,Manure System,Sample
FST_14P,14,1803844.004,FST_ONT_312,Jan. 2019,0-10,FST,312,FST12,12,B,Organic,No Till,Manure,Manure System,Sample
FST_15P,15,1803850.004,FST_ONT_412,Jan. 2019,0-10,FST,412,FST12,12,C,Organic,No Till,Manure,Manure System,Sample
FST_16P,16,1803862.004,FST_OT_212,Jan. 2019,0-10,FST,212,FST12,12,A,Organic,Till,Manure,Manure System,Sample
FST_17P,17,1803868.004,FST_OT_512,Jan. 2019,0-10,FST,512,FST12,12,B,Organic,Till,Manure,Manure System,Sample
FST_18P,18,1803874.004,FST_OT_712,Jan. 2019,0-10,FST,712,FST12,12,C,Organic,Till,Manure,Manure System,Sample
FST_19P,19,1803886.004,FST_ONT_123,Jan. 2019,0-10,FST,123,FST23,23,A,Organic,No Till,Legume,Compost System,Sample
FST_20P,20,1803892.004,FST_ONT_323,Jan. 2019,0-10,FST,323,FST23,23,B,Organic,No Till,Legume,Compost System,Sample
FST_21P,21,1803898.004,FST_ONT_423,Jan. 2019,0-10,FST,423,FST23,23,C,Organic,No Till,Legume,Compost System,Sample
FST_22P,22,1803910.004,FST_OT_223,Jan. 2019,0-10,FST,223,FST23,23,A,Organic,Till,Legume,Compost System,Sample
FST_23P,23,1803916.004,FST_OT_523,Jan. 2019,0-10,FST,523,FST23,23,B,Organic,Till,Legume,Compost System,Sample
FST_24P,24,1803922.004,FST_OT_723,Jan. 2019,0-10,FST,723,FST23,23,C,Organic,Till,Legume,Compost System,Sample
FST_25P,25,1803743.004,FST_COV_231,Jan. 2019,20-Oct,FST,231,FST31,31,A,Conventional,Till,Conventional,No CoverCrop,Sample
FST_26P,26,1803749.004,FST_COV_531,Jan. 2019,20-Oct,FST,531,FST31,31,B,Conventional,Till,Conventional,No CoverCrop,Sample
FST_27P,27,1803755.004,FST_COV_731,Jan. 2019,20-Oct,FST,731,FST31,31,C,Conventional,Till,Conventional,No CoverCrop,Sample
FST_28P,28,1803767.004,FST_CNT_131,Jan. 2019,20-Oct,FST,131,FST31,31,A,Conventional,No Till,Conventional,No CoverCrop,Sample
FST_29P,29,1803773.004,FST_CNT_331,Jan. 2019,20-Oct,FST,331,FST31,31,B,Conventional,No Till,Conventional,No CoverCrop,Sample
