Sample_Number,SRA_Sample_Name,SWRC_ID,SeqTubeID,Gene,Date_Collected,Sample_Depth,SRA_File_Name_1,SRA_File_Name_2,SRA_Accession_Number,SRA_library_ID,Site,ID_Rep,ID_Sys,ID_EP,ID_Sys_EP,ID_subplot,Plot,Fertility_Source,Management_System,Pesticide_Application,Tillage,Cover_Crop,isSample,isNeg,GWC,Bulkp_calc,OM,WSSI,POXC,TMC,Protein,pH,C,N,H,CN,Al,Ca,Cu,Fe,K,Me,Mg,Na,P,S,Zn,Acid,CEC,Casat,Ksat,Mgsat
1,FST_1P,1803742.004,1,16S,1/28/19,0-10 cm,FST_1P_R1.fq.gz,FST_1P_R2.fq.gz,SAMN15049245,231_0_16S,FST,2,3,1,31,NA,FST_231,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.411229135,0.758398328,3.84,0.56,NA,68.5416051,7.078228039,6.04,2.227118492,0.317195415,0.985957205,7.021282097,1796.240479,967.9,5.1,166.0015564,99,110.9358139,108,31.56144333,189,8.6,3.8,5.1,11.1,43.6,2.3,8.1
2,FST_2P,1803748.004,2,16S,1/29/19,0-10 cm,FST_2P_R1.fq.gz,FST_2P_R2.fq.gz,SAMN15049246,531_0_16S,FST,5,3,1,31,NA,FST_531,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.410071942,0.823034512,3.88,0.77,582.5386713,54.07253649,6.708062776,6.28,2.224900484,0.28415215,0.950100124,7.829961811,1715.383789,1117.3,9.1,175.2276764,121,143.5243835,116,27.66075516,180,9.4,4.1,4.5,11.4,49.2,2.7,8.5
3,FST_3P,1803754.004,3,16S,1/29/19,0-10 cm,FST_3P_R1.fq.gz,FST_3P_R2.fq.gz,SAMN15049247,731_0_16S,FST,7,3,1,31,NA,FST_731,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.407854985,0.760215951,3.92,0.84,NA,NA,NA,6.16,2.119058132,0.2515167,0.873100281,8.425119024,1613.903076,984.9,7,168.1562958,149,112.6023254,133,28.08431625,94,9.4,6,3.9,10.3,47.7,3.7,10.7
4,FST_4P,1803766.004,4,16S,1/29/19,0-10 cm,FST_4P_R1.fq.gz,FST_4P_R2.fq.gz,SAMN15049248,131_0_16S,FST,1,3,1,31,NA,FST_131,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.385185185,0.823857768,4.36,0.99,614.4426748,75.75971672,8.351411525,5.96,2.502863169,0.324947327,0.976105571,7.702365762,1635.404541,942.8,4.8,200.5887146,176,136.2742462,97,26.76370811,254,10.9,4.2,5.7,11.7,40.4,3.9,6.9
5,FST_5P,1803772.004,5,16S,1/29/19,0-10 cm,FST_5P_R1.fq.gz,FST_5P_R2.fq.gz,SAMN15049249,331_0_16S,FST,3,3,1,31,NA,FST_331,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.406609195,0.797558612,4.65,0.81,667.616014,100.164509,7.99325232,6.05,2.734473944,0.363875389,1.001725435,7.514863675,1404.214355,938.9,3.9,171.2371063,197,125.5518112,117,26.69781113,106,9.9,3.7,4.5,10.7,44,4.7,9.1
6,FST_6P,1803778.004,6,16S,1/28/19,0-10 cm,FST_6P_R1.fq.gz,FST_6P_R2.fq.gz,SAMN15049250,431_0_16S,FST,4,3,1,31,NA,FST_431,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.422776911,0.804356103,3.8,0.5,614.4426748,80.02088993,6.798385786,6.07,1.864566565,0.31033957,0.860920012,6.008149603,1056.909912,610.9,3,158.2814789,122,87.27541351,105,26.10464859,71,7.5,2.6,3.9,8.1,37.5,3.8,10.7
7,FST_7P,1803790.004,7,16S,1/29/19,0-10 cm,FST_7P_R1.fq.gz,FST_7P_R2.fq.gz,SAMN15049251,133_0_16S,FST,1,3,3,33,NA,FST_133,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.329479769,0.805032044,4.61,0.8,NA,NA,NA,6.01,3.105689287,0.363596529,1.041622996,8.541581235,1577.851929,964.6,6.8,180.4879761,209,124.7880859,106,24.383358,228,10.2,4.3,5.1,11.3,42.5,4.7,7.8
8,FST_8P,1803796.004,8,16S,1/28/19,0-10 cm,FST_8P_R1.fq.gz,FST_8P_R2.fq.gz,SAMN15049252,333_0_16S,FST,3,3,3,33,NA,FST_333,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.382882883,0.780937401,3.82,0.48,656.9813461,52.98094124,7.000981716,5.91,2.996256351,0.360577703,0.995311499,8.309599652,1329.453125,841,4.3,206.1135101,168,91.51034546,107,26.80950165,94,13,4,5.1,10.6,39.6,4.1,8.4
9,FST_9P,1803802.004,9,16S,1/28/19,0-10 cm,FST_9P_R1.fq.gz,FST_9P_R2.fq.gz,SAMN15049253,433_0_16S,FST,4,3,3,33,NA,FST_433,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.410060976,0.859620509,3.32,0.52,NA,NA,NA,5.72,2.076267004,0.298528463,0.87788856,6.95500518,1226.308594,537,2.8,177.0246887,94,106.7947235,96,21.73168182,92,8.1,3,4.5,8.2,32.6,2.9,9.7
10,FST_10P,1803814.004,10,16S,1/28/19,0-10 cm,FST_10P_R1.fq.gz,FST_10P_R2.fq.gz,SAMN15049254,233_0_16S,FST,2,3,3,33,NA,FST_233,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.351190476,0.770624414,4.21,0.65,660.4398741,73.74639834,7.366352204,6.23,2.629246235,0.326622814,1.082460284,8.049793593,1672.493652,1010.4,4.8,164.7144775,151,117.2222137,111,29.74209023,173,8.8,4.3,3.9,10.3,49.2,3.8,9
11,FST_11P,1803820.004,11,16S,1/29/19,0-10 cm,FST_11P_R1.fq.gz,FST_11P_R2.fq.gz,SAMN15049255,533_0_16S,FST,5,3,3,33,NA,FST_533,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.373493976,0.917712855,3.84,0.52,NA,NA,NA,5.96,2.266085625,0.283584803,0.944191396,7.990857049,1582.533813,964.2,7.2,179.6410828,92,145.075592,91,24.41342163,138,7.7,4.6,4.5,10.3,46.7,2.3,7.4
12,FST_12P,1803826.004,12,16S,1/29/19,0-10 cm,FST_12P_R1.fq.gz,FST_12P_R2.fq.gz,SAMN15049256,733_0_16S,FST,7,3,3,33,NA,FST_733,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.369924812,0.835388396,3.23,0.57,NA,NA,NA,6.33,1.745724082,0.29529807,0.867045224,5.911735501,1210.888672,949.8,2.2,177.3292542,169,176.7806396,109,25.15626144,43,8.2,2.4,3.4,9.5,50,4.6,9.6
13,FST_13P,1803838.004,13,16S,1/29/19,0-10 cm,FST_13P_R1.fq.gz,FST_13P_R2.fq.gz,SAMN15049257,112_0_16S,FST,1,1,2,12,NA,FST_112,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.411214953,0.922879528,4.64,0.4,688.8853496,69.86671039,10.70255559,6.08,2.767277479,0.379812151,1.074911356,7.285910865,1694.630615,1442.7,7.8,182.4813538,76,114.4251404,113,28.34460449,242,11,5.5,5.1,13.5,53.6,1.4,7
14,FST_14P,1803844.004,14,16S,1/29/19,0-10 cm,FST_14P_R1.fq.gz,FST_14P_R2.fq.gz,SAMN15049258,312_0_16S,FST,3,1,2,12,NA,FST_312,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.378340366,0.841982069,3.64,0.39,619.7600087,51.10259679,7.015010155,6.2,2.052016497,0.298853934,0.898842275,6.866285715,1314.432861,1038,6.5,192.1611328,88,103.3958817,106,28.21295166,94,10.3,5.3,3.9,10.2,50.9,2.2,8.7
15,FST_15P,1803850.004,15,16S,1/28/19,0-10 cm,FST_15P_R1.fq.gz,FST_15P_R2.fq.gz,SAMN15049259,412_0_16S,FST,4,1,2,12,NA,FST_412,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.503900156,0.881007559,4.61,0.57,NA,NA,NA,6.34,2.554919004,0.337353557,1.033557534,7.57341652,1679.273315,1388.6,6.6,155.0320282,91,109.7776642,109,27.84233856,164,9.9,4.8,3.9,12,57.9,1.9,7.6
16,FST_16P,1803862.004,16,16S,1/28/19,0-10 cm,FST_16P_R1.fq.gz,FST_16P_R2.fq.gz,SAMN15049260,212_0_16S,FST,2,1,2,12,NA,FST_212,Manure,Organic,None,Till,Cover Crop,TRUE,FALSE,0.493670886,0.943155579,4.63,0.65,646.3466783,NA,8.587665364,6.32,0.160558119,0.146233276,0.751747191,1.097958853,1756.257568,1374.3,8.1,172.1035156,66,110.6303558,105,28.93164253,205,10.1,5.7,4.5,12.4,55.3,1.4,7
17,FST_17P,1803868.004,17,16S,1/29/19,0-10 cm,FST_17P_R1.fq.gz,FST_17P_R2.fq.gz,SAMN15049261,512_0_16S,FST,5,1,2,12,NA,FST_512,Manure,Organic,None,Till,Cover Crop,TRUE,FALSE,0.368794326,0.704189928,3.88,0.45,NA,NA,NA,6.19,2.099979877,0.314388156,0.937652349,6.679576943,1659.669312,1132.8,8.6,209.7086334,103,123.2943954,96,31.27697563,259,10.8,5.7,4.5,11.2,50.4,2.4,7.1
18,FST_18P,1803874.004,18,16S,1/28/19,0-10 cm,FST_18P_R1.fq.gz,FST_18P_R2.fq.gz,SAMN15049262,712_0_16S,FST,7,1,2,12,NA,FST_712,Manure,Organic,None,Till,Cover Crop,TRUE,FALSE,0.438235294,1.138650883,3.87,0.45,646.3466783,44.57663286,7.346769965,6.25,2.165329695,0.311063409,0.933198035,6.961055634,1507.999878,1166.8,4.3,178.9565735,54,112.5144577,106,29.69142914,102,9.5,3.9,3.9,10.8,54.2,1.3,8.2
19,FST_19P,1803886.004,19,16S,1/29/19,0-10 cm,FST_19P_R1.fq.gz,FST_19P_R2.fq.gz,SAMN15049263,123_0_16S,FST,1,2,3,23,NA,FST_123,Legume,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.374823197,0.991859902,3.73,0.46,502.7786626,52.86735101,8.24130779,5.58,2.179018974,0.265372515,0.946832061,8.211170537,1744.380981,559.1,8,191.9633789,65,113.535675,49,28.11281204,165,12.8,4.2,8.1,11.5,24.4,1.5,3.6
20,FST_20P,1803892.004,20,16S,1/29/19,0-10 cm,FST_20P_R1.fq.gz,FST_20P_R2.fq.gz,SAMN15049264,323_0_16S,FST,3,2,3,23,NA,FST_323,Legume,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.426300578,0.723262148,3.38,0.45,524.0479983,44.1619601,6.535227432,6.01,1.822149634,0.261824816,0.893540621,6.959422941,1405.950562,860.7,3.1,160.2751007,83,164.2483521,77,32.51335144,40,8.6,3.3,3.9,9.1,47.5,2.3,7.1
21,FST_21P,1803898.004,21,16S,1/28/19,0-10 cm,FST_21P_R1.fq.gz,FST_21P_R2.fq.gz,SAMN15049265,423_0_16S,FST,4,2,3,23,NA,FST_423,Legume,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.419601838,0.831134576,4.15,0.65,603.808007,52.34028551,7.855547604,5.95,2.256294966,0.344192713,0.974548161,6.555324611,1670.355225,945.1,3.1,146.5883484,67,115.241394,75,28.04067612,94,9.7,3.3,5.7,11.2,42.1,1.5,5.6
22,FST_22P,1803910.004,22,16S,1/28/19,0-10 cm,FST_22P_R1.fq.gz,FST_22P_R2.fq.gz,SAMN15049266,223_0_16S,FST,2,2,3,23,NA,FST_223,Legume,Organic,None,Till,Cover Crop,TRUE,FALSE,0.443410853,1.002797382,3.46,0.46,545.3173339,44.49469051,6.493915867,5.99,1.523442984,0.28399989,0.876581669,5.364237934,1557.641846,889.7,4.3,217.4931335,53,180.6255493,70,33.4271698,120,9.4,3.5,4.5,9.7,46,1.4,6
23,FST_23P,1803916.004,23,16S,1/29/19,0-10 cm,FST_23P_R1.fq.gz,FST_23P_R2.fq.gz,SAMN15049267,523_0_16S,FST,5,2,3,23,NA,FST_523,Legume,Organic,None,Till,Cover Crop,TRUE,FALSE,0.433489828,0.926529854,4.21,0.63,625.0773426,45.00738617,7.725695339,6.09,2.263063192,0.31141144,0.976532102,7.267116422,1695.058594,1060.1,6.8,186.5765381,80,174.8505402,75,28.61538506,162,10.9,4.2,4.5,10.6,49.9,1.9,5.9
24,FST_24P,1803922.004,24,16S,1/28/19,0-10 cm,FST_24P_R1.fq.gz,FST_24P_R2.fq.gz,SAMN15049268,723_0_16S,FST,7,2,3,23,NA,FST_723,Legume,Organic,None,Till,Cover Crop,TRUE,FALSE,0.412087912,0.502247475,3.7,0.27,NA,NA,NA,6.19,1.972896457,0.277560771,0.907159746,7.107980184,1563.180176,937.6,4,168.9986877,47,210.2788696,72,26.64356232,51,10,3.1,3.9,9.3,50.4,1.3,6.4
25,FST_25P,1803743.004,25,16S,1/28/19,10-20 cm,FST_25P_R1.fq.gz,FST_25P_R2.fq.gz,SAMN15049269,231_10_16S,FST,2,3,1,31,NA,FST_231,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.342771982,1.1187691,3.35,0.63,454.9226574,27.730894,5.469166596,6.07,1.676761746,0.270285219,0.902861536,6.203675336,1721.903442,958.4,4.7,164.0703125,38,95.11545563,92,30.7465477,177,8.2,3.3,4.5,10.2,47.2,1,7.5
26,FST_26P,1803749.004,26,16S,1/29/19,10-20 cm,FST_26P_R1.fq.gz,FST_26P_R2.fq.gz,SAMN15049270,531_10_16S,FST,5,3,1,31,NA,FST_531,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.365243004,1.038961689,3.93,0.6,550.6346678,35.3742847,6.721938644,6.24,2.341251373,0.300670952,0.972794056,7.786756123,1769.359131,1299.9,7.9,162.0599365,59,106.923851,102,28.17489243,186,8.5,3.9,5.1,12.6,51.6,1.2,6.7
27,FST_27P,1803755.004,27,16S,1/29/19,10-20 cm,FST_27P_R1.fq.gz,FST_27P_R2.fq.gz,SAMN15049271,731_10_16S,FST,7,3,1,31,NA,FST_731,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,No Cover Crop,TRUE,FALSE,0.365269461,1.112139711,3.62,0.84,545.3173339,40.14148185,NA,6.24,1.740647674,0.221099615,0.763026774,7.872685228,1589.518921,931.8,7,162.9737244,63,120.6546326,110,27.22610855,81,8.2,5.2,3.9,9.6,48.3,1.7,9.5
28,FST_28P,1803767.004,28,16S,1/29/19,10-20 cm,FST_28P_R1.fq.gz,FST_28P_R2.fq.gz,SAMN15049272,131_10_16S,FST,1,3,1,31,NA,FST_131,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.306382979,1.10057885,3.15,0.84,401.7493182,28.33391442,5.304640916,5.97,2.08159852,0.272733837,0.970009744,7.632344195,1760.602173,905,5.3,182.5366974,94,107.7017365,70,28.46656799,220,8.8,3.5,4.5,9.8,45.9,2.4,5.9
29,FST_29P,1803773.004,29,16S,1/29/19,10-20 cm,FST_29P_R1.fq.gz,FST_29P_R2.fq.gz,SAMN15049273,331_10_16S,FST,3,3,1,31,NA,FST_331,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.348066298,1.114375312,3.68,0.62,460.2399913,NA,5.089205237,6.2,2.208542585,0.284370154,0.93832165,7.76643594,1443.296387,976.6,5.3,140.5650024,66,110.4580994,93,27.46976471,62,7.9,4,3.9,9.7,50.2,1.7,8
30,FST_30P,1803779.004,30,16S,1/28/19,10-20 cm,FST_30P_R1.fq.gz,FST_30P_R2.fq.gz,SAMN15049274,431_10_16S,FST,4,3,1,31,NA,FST_431,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,No Cover Crop,TRUE,FALSE,0.33045977,1.119430268,2.55,0.44,396.4319843,32.25859368,3.955092741,6.04,1.223200321,0.231298462,0.793261945,5.288406646,1303.225342,841.5,3.8,173.6987305,46,88.37067413,87,25.26740265,63,5.8,2.9,3.9,9,47,1.3,8.1
31,FST_31P,1803791.004,31,16S,1/29/19,10-20 cm,FST_31P_R1.fq.gz,FST_31P_R2.fq.gz,SAMN15049275,133_10_16S,FST,1,3,3,33,NA,FST_133,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.324324324,1.017510133,3.51,0.89,391.1146504,25.74768387,5.868659844,5.95,2.001721621,0.289861023,0.945206821,6.905797809,1741.288818,919.7,6.9,179.5749207,134,107.5843124,73,24.073246,185,10.3,4.3,5.1,10.7,43.2,3.2,5.7
32,FST_32P,1803797.004,32,16S,1/28/19,10-20 cm,FST_32P_R1.fq.gz,FST_32P_R2.fq.gz,SAMN15049276,333_10_16S,FST,3,3,3,33,NA,FST_333,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.34025974,1.125676755,3.22,0.62,470.8746591,22.52336364,5.037276282,5.93,1.770523667,0.240297124,0.823284745,7.368060172,1433.813599,872.9,5.1,168.1617737,82,82.74507141,78,25.58347702,74,8.3,3.9,3.9,9.1,47.8,2.3,7.1
33,FST_33P,1803803.004,33,16S,1/28/19,10-20 cm,FST_33P_R1.fq.gz,FST_33P_R2.fq.gz,SAMN15049277,433_10_16S,FST,4,3,3,33,NA,FST_433,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Reduced Till,Cover Crop,TRUE,FALSE,0.308588064,1.26377927,2.8,0.54,417.70132,22.11450725,4.364231234,6.07,1.53833425,0.270311743,0.84458214,5.690963453,1465.125732,913.1,5.3,160.074234,65,98.82116699,96,25.60730934,89,6.5,3.8,3.9,9.4,48.4,1.8,8.5
34,FST_34P,1803815.004,34,16S,1/28/19,10-20 cm,FST_34P_R1.fq.gz,FST_34P_R2.fq.gz,SAMN15049278,233_10_16S,FST,2,3,3,33,NA,FST_233,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.4,1.017773293,3.66,0.76,NA,NA,NA,6.18,1.593319297,0.278499693,0.930057049,5.721080988,1599.635498,1106.7,3.3,183.2276001,79,139.4402161,104,25.56940842,142,7,3.4,3.9,10.5,52.7,1.9,8.3
35,FST_35P,1803821.004,35,16S,1/29/19,10-20 cm,FST_35P_R1.fq.gz,FST_35P_R2.fq.gz,SAMN15049279,533_10_16S,FST,5,3,3,33,NA,FST_533,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.332855093,1.10290657,3.36,0.28,506.9121225,33.56898698,5.912785315,6.31,1.72163713,0.283614367,0.884927809,6.07034526,1525.616455,920,7.5,193.4648438,61,165.0761566,86,25.43442154,125,7.8,4.7,4.5,10,46.1,1.6,7.2
36,FST_36P,1803827.004,36,16S,1/29/19,10-20 cm,FST_36P_R1.fq.gz,FST_36P_R2.fq.gz,SAMN15049280,733_10_16S,FST,7,3,3,33,NA,FST_733,Synthetic Fertilizer,Conventional,Synthetic Pesticide,Till,Cover Crop,TRUE,FALSE,0.312408759,1.171672065,3.57,0.76,506.9121225,31.26091564,5.469570933,6.22,1.67830503,0.241509378,0.885496497,6.949233376,1497.923218,967.4,3.2,159.6679382,53,148.4458313,97,26.989254,59,7.5,3,3.9,9.7,50,1.4,8.3
37,FST_37P,1803839.004,37,16S,1/29/19,10-20 cm,FST_37P_R1.fq.gz,FST_37P_R2.fq.gz,SAMN15049281,112_10_16S,FST,1,1,2,12,NA,FST_112,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.380681818,1.127743524,4.52,0.96,704.8373514,73.00823293,9.231813565,6.06,2.728073597,0.349303305,1.083055496,7.810042324,1761.041992,1394,6.8,175.7516479,55,112.7222519,103,29.86844635,247,11.7,4.6,5.1,13.1,53.3,1.1,6.6
38,FST_38P,1803845.004,38,16S,1/29/19,10-20 cm,FST_38P_R1.fq.gz,FST_38P_R2.fq.gz,SAMN15049282,312_10_16S,FST,3,1,2,12,NA,FST_312,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.436137072,0.947269109,3.78,0.37,603.808007,51.54754888,6.784469959,6.23,1.966505051,0.275825024,0.896854877,7.129538229,1297.23291,983.5,6.3,185.5475159,94,94.26937866,105,29.9553299,85,11.1,4.9,3.4,9.4,52.1,2.6,9.3
39,FST_39P,1803851.004,39,16S,1/28/19,10-20 cm,FST_39P_R1.fq.gz,FST_39P_R2.fq.gz,SAMN15049283,412_10_16S,FST,4,1,2,12,NA,FST_412,Manure,Organic,None,Reduced Till,Cover Crop,TRUE,FALSE,0.504187605,0.910843454,4.64,0.79,688.8853496,55.2984214,7.848318151,6.33,2.260249138,0.317445308,1.02349329,7.120121423,1660.125488,1641.8,6.1,171.9746399,85,117.8908691,131,30.03291702,150,10.5,4.8,3.9,13.4,61.2,1.6,8.1
