"","file","raw_reads","no-N_reads","reads_passing_cutadapt","reads_passing_QC","denoisedF","denoisedR","merged","nonchim","Sample_Number","Sample_Name","SWRC_ID","SeqTubeID","Gene","Date_Collected","Sample_Depth","SRA_File_Name_1","SRA_File_Name_2","SRA_Accession_Number","SRA_library_ID","Site","Field_Rep","Field_Sys","Field_EP","Field","System","Till_Type","System2","Cover_Crop","Sample_or_Control"
"FST_10P_R1.fq.gz","FST_10P_R1.fq.gz",322160,322087,322087,297707,279605,269534,228263,222906,10,"FST_10P","1803814.004",10,"16S-V4",2019-01-28,"0-10 cm","FST_10P_R1.fq.gz","FST_10P_R2.fq.gz","SAMN15049254","233_0_16S","FST","2","3","3","233","Conservation","Till","Conventional","CoverCrop","Sample"
"FST_11P_R1.fq.gz","FST_11P_R1.fq.gz",344350,344308,344308,319641,300637,288799,245614,239594,11,"FST_11P","1803820.004",11,"16S-V4",2019-01-29,"0-10 cm","FST_11P_R1.fq.gz","FST_11P_R2.fq.gz","SAMN15049255","533_0_16S","FST","5","3","3","533","Conservation","Till","Conventional","CoverCrop","Sample"
"FST_12P_R1.fq.gz","FST_12P_R1.fq.gz",325992,325871,325870,299101,280861,270505,227499,220620,12,"FST_12P","1803826.004",12,"16S-V4",2019-01-29,"0-10 cm","FST_12P_R1.fq.gz","FST_12P_R2.fq.gz","SAMN15049256","733_0_16S","FST","7","3","3","733","Conservation","Till","Conventional","CoverCrop","Sample"
"FST_13P_R1.fq.gz","FST_13P_R1.fq.gz",387839,387813,387813,359241,336665,323260,271730,261325,13,"FST_13P","1803838.004",13,"16S-V4",2019-01-29,"0-10 cm","FST_13P_R1.fq.gz","FST_13P_R2.fq.gz","SAMN15049257","112_0_16S","FST","1","1","2","112","Organic","No Till","Manure","Manure System","Sample"
"FST_14P_R1.fq.gz","FST_14P_R1.fq.gz",257237,257221,257221,238006,221382,211015,175023,171405,14,"FST_14P","1803844.004",14,"16S-V4",2019-01-29,"0-10 cm","FST_14P_R1.fq.gz","FST_14P_R2.fq.gz","SAMN15049258","312_0_16S","FST","3","1","2","312","Organic","No Till","Manure","Manure System","Sample"
"FST_15P_R1.fq.gz","FST_15P_R1.fq.gz",209491,209484,209483,194538,181479,173982,146220,144406,15,"FST_15P","1803850.004",15,"16S-V4",2019-01-28,"0-10 cm","FST_15P_R1.fq.gz","FST_15P_R2.fq.gz","SAMN15049259","412_0_16S","FST","4","1","2","412","Organic","No Till","Manure","Manure System","Sample"
"FST_16P_R1.fq.gz","FST_16P_R1.fq.gz",339514,339492,339492,313984,293233,279606,233885,225368,16,"FST_16P","1803862.004",16,"16S-V4",2019-01-28,"0-10 cm","FST_16P_R1.fq.gz","FST_16P_R2.fq.gz","SAMN15049260","212_0_16S","FST","2","1","2","212","Organic","Till","Manure","Manure System","Sample"
"FST_17P_R1.fq.gz","FST_17P_R1.fq.gz",330023,330008,330007,306343,287841,276012,234551,226662,17,"FST_17P","1803868.004",17,"16S-V4",2019-01-29,"0-10 cm","FST_17P_R1.fq.gz","FST_17P_R2.fq.gz","SAMN15049261","512_0_16S","FST","5","1","2","512","Organic","Till","Manure","Manure System","Sample"
"FST_18P_R1.fq.gz","FST_18P_R1.fq.gz",212737,212726,212725,195686,180278,171394,139681,136493,18,"FST_18P","1803874.004",18,"16S-V4",2019-01-28,"0-10 cm","FST_18P_R1.fq.gz","FST_18P_R2.fq.gz","SAMN15049262","712_0_16S","FST","7","1","2","712","Organic","Till","Manure","Manure System","Sample"
"FST_19P_R1.fq.gz","FST_19P_R1.fq.gz",282501,282491,282491,261054,240397,228105,183915,177946,19,"FST_19P","1803886.004",19,"16S-V4",2019-01-29,"0-10 cm","FST_19P_R1.fq.gz","FST_19P_R2.fq.gz","SAMN15049263","123_0_16S","FST","1","2","3","123","Organic","No Till","Legume","Compost System","Sample"
