"","file","raw_reads","no-N_reads","reads_passing_cutadapt","reads_passing_QC","denoisedF","denoisedR","merged","nonchim"
"FST_10P_R1.fq.gz","FST_10P_R1.fq.gz",322160,322087,322087,297707,279605,269534,228263,222906
"FST_11P_R1.fq.gz","FST_11P_R1.fq.gz",344350,344308,344308,319641,300637,288799,245614,239594
"FST_12P_R1.fq.gz","FST_12P_R1.fq.gz",325992,325871,325870,299101,280861,270505,227499,220620
"FST_13P_R1.fq.gz","FST_13P_R1.fq.gz",387839,387813,387813,359241,336665,323260,271730,261325
"FST_14P_R1.fq.gz","FST_14P_R1.fq.gz",257237,257221,257221,238006,221382,211015,175023,171405
"FST_15P_R1.fq.gz","FST_15P_R1.fq.gz",209491,209484,209483,194538,181479,173982,146220,144406
"FST_16P_R1.fq.gz","FST_16P_R1.fq.gz",339514,339492,339492,313984,293233,279606,233885,225368
"FST_17P_R1.fq.gz","FST_17P_R1.fq.gz",330023,330008,330007,306343,287841,276012,234551,226662
"FST_18P_R1.fq.gz","FST_18P_R1.fq.gz",212737,212726,212725,195686,180278,171394,139681,136493
"FST_19P_R1.fq.gz","FST_19P_R1.fq.gz",282501,282491,282491,261054,240397,228105,183915,177946
"FST_1P_R1.fq.gz","FST_1P_R1.fq.gz",267671,267587,267587,248279,231922,222305,185977,181454
"FST_20P_R1.fq.gz","FST_20P_R1.fq.gz",223723,223716,223716,207961,194331,185517,155544,152713
"FST_21P_R1.fq.gz","FST_21P_R1.fq.gz",233613,233596,233595,215794,200394,191666,159145,155117
"FST_22P_R1.fq.gz","FST_22P_R1.fq.gz",278459,278454,278454,258090,239430,228724,188506,183354
"FST_23P_R1.fq.gz","FST_23P_R1.fq.gz",301038,301010,301010,277832,260765,250567,213420,209366
"FST_24P_R1.fq.gz","FST_24P_R1.fq.gz",210144,210132,210128,195815,182674,175248,146083,143197
"FST_25P_R1.fq.gz","FST_25P_R1.fq.gz",349339,349322,349319,322839,303147,291232,247282,238920
"FST_26P_R1.fq.gz","FST_26P_R1.fq.gz",440455,440436,440433,406390,383032,367290,313662,303249
"FST_27P_R1.fq.gz","FST_27P_R1.fq.gz",348980,348968,348968,320552,300806,288282,243716,237274
"FST_28P_R1.fq.gz","FST_28P_R1.fq.gz",305921,305912,305912,282100,265819,255039,220712,214142
"FST_29P_R1.fq.gz","FST_29P_R1.fq.gz",444950,444935,444933,412788,388694,371438,318138,306059
