"","file","raw_reads","no-N_reads","reads_passing_cutadapt","reads_passing_QC","denoisedF","denoisedR","merged","nonchim","Sample_Number","Sample_Name","SWRC_ID","SeqTubeID","Gene","Date_Collected","Sample_Depth","SRA_File_Name_1","SRA_File_Name_2","SRA_Accession_Number","SRA_library_ID","Site","Field_Rep","Field_Sys","Field_EP","Field","System","Till_Type","System2","Cover_Crop","Sample_or_Control"
"1","FST_10F_R1.fq.gz",478039,478017,477992,432723,423894,424871,388379,344124,109,"FST_10F","1803814.004",10,"ITS2",2019-01-28,"0-10 cm","FST_10F_R1.fq.gz","FST_10F_R2.fq.gz","SAMN15049353","233_0_ITS","FST","2","3","3","233","Conservation","Till","Conventional","CoverCrop","Sample"
"2","FST_11F_R1.fq.gz",465028,465006,464980,426148,417604,418965,381601,323317,110,"FST_11F","1803820.004",11,"ITS2",2019-01-29,"0-10 cm","FST_11F_R1.fq.gz","FST_11F_R2.fq.gz","SAMN15049354","533_0_ITS","FST","5","3","3","533","Conservation","Till","Conventional","CoverCrop","Sample"
"3","FST_12F_R1.fq.gz",545235,545203,545174,494048,485959,486691,460498,406689,111,"FST_12F","1803826.004",12,"ITS2",2019-01-29,"0-10 cm","FST_12F_R1.fq.gz","FST_12F_R2.fq.gz","SAMN15049355","733_0_ITS","FST","7","3","3","733","Conservation","Till","Conventional","CoverCrop","Sample"
"4","FST_13F_R1.fq.gz",482838,482831,482796,437573,428465,430099,406000,365269,112,"FST_13F","1803838.004",13,"ITS2",2019-01-29,"0-10 cm","FST_13F_R1.fq.gz","FST_13F_R2.fq.gz","SAMN15049356","112_0_ITS","FST","1","1","2","112","Organic","No Till","Manure","Manure System","Sample"
"5","FST_14F_R1.fq.gz",370217,370198,370180,327648,320317,321957,303713,272318,113,"FST_14F","1803844.004",14,"ITS2",2019-01-29,"0-10 cm","FST_14F_R1.fq.gz","FST_14F_R2.fq.gz","SAMN15049357","312_0_ITS","FST","3","1","2","312","Organic","No Till","Manure","Manure System","Sample"
"6","FST_15F_R1.fq.gz",281015,281001,280990,254723,249325,250007,237366,218625,114,"FST_15F","1803850.004",15,"ITS2",2019-01-28,"0-10 cm","FST_15F_R1.fq.gz","FST_15F_R2.fq.gz","SAMN15049358","412_0_ITS","FST","4","1","2","412","Organic","No Till","Manure","Manure System","Sample"
"7","FST_16F_R1.fq.gz",468507,468479,468449,425451,416526,417857,392861,352388,115,"FST_16F","1803862.004",16,"ITS2",2019-01-28,"0-10 cm","FST_16F_R1.fq.gz","FST_16F_R2.fq.gz","SAMN15049359","212_0_ITS","FST","2","1","2","212","Organic","Till","Manure","Manure System","Sample"
"8","FST_17F_R1.fq.gz",622804,622765,622586,564353,555254,556430,531329,480961,116,"FST_17F","1803868.004",17,"ITS2",2019-01-29,"0-10 cm","FST_17F_R1.fq.gz","FST_17F_R2.fq.gz","SAMN15049360","512_0_ITS","FST","5","1","2","512","Organic","Till","Manure","Manure System","Sample"
"9","FST_18F_R1.fq.gz",340076,340065,340046,309628,302687,304198,286897,265085,117,"FST_18F","1803874.004",18,"ITS2",2019-01-28,"0-10 cm","FST_18F_R1.fq.gz","FST_18F_R2.fq.gz","SAMN15049361","712_0_ITS","FST","7","1","2","712","Organic","Till","Manure","Manure System","Sample"
"10","FST_19F_R1.fq.gz",378922,378893,378864,343837,335924,337105,316805,290666,118,"FST_19F","1803886.004",19,"ITS2",2019-01-29,"0-10 cm","FST_19F_R1.fq.gz","FST_19F_R2.fq.gz","SAMN15049362","123_0_ITS","FST","1","2","3","123","Organic","No Till","Legume","Compost System","Sample"
